ident_men;ident_ind;pond_indc;sexe;age;lien_01;typolog;handicap;cs42;cs24;situa;statut;typemploi;temptrav;ddipl;pond_jour;nbkm_tot_velo_modprinc;nbkm_vae_velo_modprinc;nbkm_nonvae_velo_modprinc;nbkm_tot_velo_modannexe;nbkm_vae_velo_modannexe;nbkm_nonvae_velo_modannexe;pond_menc;cs42pr;cs24pr;dipdetpr;dipdetcj;stoc;stocp;quartile_rev;decile_rev;quartile_rev_uc;decile_rev_uc;dep_res;nuts_res;reg_res;tuu2017_res;catcom_aa_res;nb_velos;pond_velo1;kvelocat1;kveloutil_flag1;kveloutil_a1;kveloutil_b1;kveloutil_c1;kveloutil_d1;kvkm1sem1;pond_velo2;kvelocat2;kveloutil_flag2;kveloutil_a2;kveloutil_b2;kveloutil_c2;kveloutil_d2;kvkm1sem2;pond_velo3;kvelocat3;kveloutil_flag3;kveloutil_a3;kveloutil_b3;kveloutil_c3;kveloutil_d3;kvkm1sem3;pond_velo4;kvelocat4;kveloutil_flag4;kveloutil_a4;kveloutil_b4;kveloutil_c4;kveloutil_d4;kvkm1sem4;pond_velo5;kvelocat5;kveloutil_flag5;kveloutil_a5;kveloutil_b5;kveloutil_c5;kveloutil_d5;kvkm1sem5;conduit_moins10km_slt;conduit_moins20km;nb_trip_voit;mdisttot_fin1;voiture_passager1;mdisttot_fin2;voiture_passager2;mdisttot_fin3;voiture_passager3;mdisttot_fin4;voiture_passager4;mdisttot_fin5;voiture_passager5;mdisttot_fin6;voiture_passager6;mdisttot_fin7;voiture_passager7;mdisttot_fin8;voiture_passager8;mdisttot_fin9;voiture_passager9;mdisttot_fin10;voiture_passager10;mdisttot_fin11;voiture_passager11;mdisttot_fin12;voiture_passager12;mdisttot_fin13;voiture_passager13;mdisttot_fin14;voiture_passager14;mdisttot_fin15;voiture_passager15;mdisttot_fin16;voiture_passager16;mdisttot_fin17;voiture_passager17;mdisttot_fin18;voiture_passager18;tot_dist_voit;nbkm_walking_lower;nbkm_walking_upper
1,1E+12;1,1E+14;1842.9771;2;84;0;1;2;75;73;5;;;;3;9891.108772;0;0;0;0;0;0;1842.9771;75;73;32;;3;1;3;8;4;10;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2.2;0;2.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4000001;.2000000029802322;.2000000029802322
1,1E+12;1,1E+14;7793.5298;1;19;0;1;2;84;82;3;;;;4;5275.2959481;0;0;0;0;0;0;1948.3824;56;56;51;71;4;;4;8;2;5;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;1666.9073;2;80;1;1;2;86;82;6;;;;7;2825.1021303;0;0;0;0;0;0;833.45367;78;76;52;70;2;1;2;4;2;3;78;FR10;Ile-de-France;0;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;12;1;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;0;0
1,1E+12;1,1E+14;3396.2856;1;61;0;1;2;38;36;1;3;6;1;1;21089.837773;0;0;0;0;0;0;1698.1428;38;36;15;16;2;1;4;10;4;10;78;FR10;Ile-de-France;8;12;1;1698.1428;4;1;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;3989.2671;1;64;1;1;1;78;76;5;;;;5;4362.6915279;0;0;0;0;0;0;1994.6335;54;54;51;52;2;1;3;7;3;7;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;3843.2217;1;30;2;1;2;64;61;1;3;6;1;4;24058.724023;0;0;0;0;0;0;1921.6108;74;73;42;;4;;4;9;4;9;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;5.3214103219;0;5.3214103219;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.64282;0;0
1,1E+12;1,1E+14;3142.1719;2;48;0;1;2;37;36;1;3;6;2;1;20658.322154;0;0;0;0;0;0;1571.0859;37;36;13;;1;1;3;7;3;7;78;FR10;Ile-de-France;0;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;3306.7786;1;55;0;1;2;52;51;1;1;6;1;4;31828.347792;0;0;0;0;0;0;1653.3893;52;51;45;52;2;1;4;9;4;9;78;FR10;Ile-de-France;8;12;1;1653.3893;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;0
1,1E+12;1,1E+14;11750.654;1;47;1;1;2;37;36;1;3;6;1;5;72577.568321;0;0;0;0;0;0;2937.6636;38;36;15;52;1;1;4;9;4;8;78;FR10;Ile-de-France;4;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0
1,1E+12;1,1E+14;2872.5229;2;50;0;1;2;43;41;1;7;;;3;22824.505077;0;0;0;0;0;0;2872.5229;43;41;34;;4;;3;6;4;8;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
