age_grp.x;week_time_mean;pop_age_grp;MR_age_grp;RR_perc;nprev;benef;gain;sex;cc_incidence;dem_incidence;bc_incidence;cvd_incidence;diab2_incidence;mortality_rate;dem_cases_prev;cc_cases_prev;bc_cases_prev;cvd_cases_prev;diab2_cases_prev;prem_death_prev;mort
20-24;1.338308063;1881567;0.000205538;0.133830806;0.517569614;4470601.814;0.001045058;female;45;0;44;370;1080;38;0;0.030696629;0.058885555;0.440154652;2.764551759;5.09E-07;0.00038
25-29;4.900615046;1948081;0.000219671;0.490061505;2.097158026;16667986.34;0.003772197;female;60;0;269;320;1200;42;0;0.149873179;1.318265447;1.393952724;11.24803633;2.06E-06;0.00042
30-34;8.097619413;2042759;0.000315649;0.809761941;5.221295028;37917377.08;0.008221584;female;91;0;808;440;1790;55;0;0.375595891;6.542876486;3.167068926;27.72396025;4.45E-06;0.00055
35-39;5.785561926;2053471;0.000559485;0.578556193;6.646953337;43736474.51;0.009391936;female;173;0;1808;700;2780;87;0;0.510168604;10.46029596;3.599905198;30.76346272;5.03E-06;0.00087
40-44;5.034169627;1977024;0.000981463;0.503416963;9.768181601;57729318.81;0.012852282;female;326;10;3386;1090;4090;145;0.048053443;0.83650304;17.04569836;4.877551016;39.38184228;7.30E-06;0.00145
45-49;2.529937117;2212404;0.001580428;0.252993712;8.846037277;46352369.43;0.009233184;female;607;40;5784;2050;6860;238;0.09659761;0.78274535;14.63315628;4.610107635;33.19546204;6.02E-06;0.00238
50-54;2.814398851;2191596;0.002276334;0.281439885;14.040487;64180266.66;0.01292071;female;955;100;6318;3420;10290;359;0.268647194;1.36997012;17.78137194;8.555772506;55.39185317;1.01E-05;0.00359
55-59;4.540379298;2156919;0.002976228;0.45403793;29.14688372;113759295.8;0.023437674;female;1348;250;5864;5020;13070;484;1.083499728;3.11963731;26.6247842;20.2601814;113.504374;2.20E-05;0.00484
60-64;4.709726138;2071331;0.003989754;0.470972614;38.92165387;125421950.7;0.027180789;female;1831;520;6717;7400;15190;664;2.337737058;4.395477663;31.63523047;30.97953193;136.8353489;3.13E-05;0.00664
65-69;8.68369331;2022431;0.005644397;0.868369331;99.12786185;252042302.3;0.057274512;female;2483;1240;8187;10670;15880;946;10.27833634;10.99014127;71.09339713;82.36000677;263.7544831;8.21E-05;0.00946
70-74;6.202481005;1715789;0.008810977;0.6202481;93.76772894;177257070.3;0.049883443;female;2519;3140;6719;14150;13660;1449;18.59052927;7.963714627;41.67446987;78.01342775;162.0544711;8.99E-05;0.01449
75-79;7.836983188;1179524;0.016279879;0.783698319;150.4897368;178776307.5;0.081348383;female;2346;5330;4102;13690;8890;2468;39.87243763;9.371281886;32.14730504;95.36737764;133.2586937;0.000193417;0.02468
80-84;4.096074212;1089674;0.031452663;0.409607421;140.3853629;71137176.87;0.05098394;female;2804;9700;3778;15320;6410;4374;37.92592781;5.854204706;15.47496837;55.77942838;50.21930771;0.000179162;0.04374
85-89;0.522812983;878399;0.064179053;0.052281298;29.47348588;5869343.637;0.006601339;female;4475;12610;4672;14700;3830;8099;6.293005531;1.192508496;2.442582255;6.831422974;3.829922739;4.23E-05;0.08099
20-24;9.039320504;1929451;0.00055308;0.90393205;9.646227643;74934874.29;0.01684882;male;32;0;0;410;990;38;0;0.216222949;NA;3.294330139;17.11653511;3.43E-06;0.00038
25-29;9.659814921;1979275;0.000622912;0.965981492;11.90971938;84436535.91;0.018471394;male;58;0;0;440;1120;42;0;0.418805929;NA;3.778060947;20.6933929;4.06E-06;0.00042
30-34;12.68024205;2085026;0.000775828;1.268024205;20.51184422;131441073.1;0.02732232;male;95;0;0;800;1820;55;0;0.900465694;NA;9.017061013;44.14116663;6.97E-06;0.00055
35-39;15.91140196;2059118;0.001179464;1.591140196;38.64331777;221304682.3;0.046587209;male;148;10;0;1500;3270;87;0.151881581;1.760297958;NA;21.21520262;99.51787075;1.38E-05;0.00087
40-44;16.57926491;1962142;0.001908743;1.657926491;62.09305884;313189973.1;0.068984959;male;258;20;0;2790;5380;145;0.316513275;3.19742966;NA;41.11657697;170.605262;2.40E-05;0.00145
45-49;18.88368211;2161361;0.003172148;1.888368211;129.4694837;566836498.7;0.113805981;male;553;50;0;5990;9120;238;0.901266749;7.805987198;NA;100.5451163;329.4021236;4.49E-05;0.00238
50-54;11.59536397;2105778;0.004895594;1.159536397;119.537014;442642683;0.090598725;male;1069;120;0;9610;13410;359;1.328196387;9.265697401;NA;99.05017576;297.4116926;4.16E-05;0.00359
55-59;7.123829448;2030177;0.006696782;0.712382945;96.85311238;294114994.3;0.062689338;male;1748;290;0;13520;17070;484;1.972005739;9.308312696;NA;85.61259923;232.5904666;3.45E-05;0.00484
60-64;12.6925717;1896448;0.009293972;1.26925717;223.7133678;527909399.1;0.123659978;male;2582;540;0;16680;18990;664;6.542444519;24.49750673;NA;188.1885297;461.0196806;8.43E-05;0.00664
65-69;9.824578097;1815948;0.013266957;0.98245781;236.6947537;397553590.1;0.102207623;male;3650;1080;0;20260;18140;946;10.12824803;26.8054311;NA;176.9297353;340.8757193;9.29E-05;0.00946
70-74;20.12093704;1485920;0.02014627;2.012093704;602.3352412;623125884.5;0.226723911;male;3620;2250;0;21680;14710;1449;43.21429015;54.44685454;NA;387.7528134;566.1164183;0.000291552;0.01449
75-79;11.85446184;929196;0.033015969;1.185446184;363.6748111;123148650.2;0.128050688;male;3049;3210;0;15850;7880;2468;36.32315287;27.01813017;NA;167.0161957;178.6705342;0.000292568;0.02468
80-84;6.630625575;717943;0.055860074;0.663062557;265.9169207;89581744;0.051138738;male;3046;4560;0;12770;4480;4374;28.86130805;15.09733966;NA;75.26496764;56.81688161;0.000290024;0.04374
85-89;5.159368909;457974;0.097342677;0.515936891;230.0068073;229085632.5;-0.003871886;male;3271;4550;0;8700;2260;8099;22.40807979;12.6151712;NA;39.89911956;22.3023125;0.000417857;0.08099
